index,Target_ID,Target_Class,Frame,Px,Py,Wx,Wy,Time,RWx_m,RWy_m,t,Vx,Vy,ax,ay,jerkx,jerky,SPF,FPS,real_world_len,real_world_wide
888,18,bicycleperson,190,506,137,1084.642795792039,177.0037849815407,19.0,29.56891660174297,2.0779233871568024,1.0,0.0,-0.014259280247320483,0.0,0.00503189111949176,0.0,0.00503189111949176,0.09999999999999999,10.0,40,2.3
898,18,bicycleperson,200,513,137,1082.6574789492508,172.49055592701518,20.0,29.53543686164594,2.0678357706224157,1.0,-0.03347974009702881,-0.010087616534386612,-0.03347974009702881,0.004171663712933871,-0.03347974009702881,0.004171663712933871,0.09999999999999999,10.0,40,2.3
1086,25,bicycleperson,170,557,90,766.7820327549169,169.69811657858313,17.0,19.993084096579203,1.8748182847699475,,-0.18877777619494296,-0.00390701255895487,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1096,25,bicycleperson,180,557,90,766.7820327549169,169.69811657858313,18.0,19.80430632038426,1.8709112722109926,1.0,-0.18877777619494296,-0.00390701255895487,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1106,25,bicycleperson,190,559,91,775.8166905895112,166.70574898945532,19.0,20.12201935486211,1.8729995550011571,1.0,0.31771303447785115,0.0020882827901644863,0.5064908106727941,0.005995295349119356,0.5064908106727941,0.005995295349119356,0.09999999999999999,10.0,40,2.3
1116,25,bicycleperson,200,558,90,766.1309496186124,168.63283257648996,20.0,20.1915209060734,1.8752211819973579,1.0,0.06950155121128887,0.002221626996200765,-0.24821148326656228,0.00013334420603627883,-0.24821148326656228,0.00013334420603627883,0.09999999999999999,10.0,40,2.3
1126,25,bicycleperson,210,555,90,768.0819374188011,171.824984201882,21.0,20.022131513980476,1.8662173923742764,1.0,-0.16938939209292414,-0.00900378962308146,-0.238890943304213,-0.011225416619282225,-0.238890943304213,-0.011225416619282225,0.09999999999999999,10.0,40,2.3
1226,25,bicycleperson,330,570,75,559.0314782368721,169.25046091588115,33.0,14.190723442321321,1.8964770745060193,12.0,-0.4859506726382629,0.002521640177645242,-0.026380106712111565,0.0009604524833938918,-0.026380106712111565,0.0009604524833938918,0.09999999999999999,10.0,40,2.3
1236,25,bicycleperson,340,571,77,590.2184212287323,165.77608581940362,34.0,13.65740033142005,1.9094990244465562,1.0,-0.5333231109012715,0.013021949940536848,-0.047372438263008576,0.010500309762891605,-0.047372438263008576,0.010500309762891605,0.09999999999999999,10.0,40,2.3
1246,25,bicycleperson,350,569,68,428.9097506949295,179.65520754966758,35.0,11.559300123315715,1.9182588939336018,1.0,-2.0981002081043343,0.008759869487045657,-1.5647770972030628,-0.0042620804534911905,-1.5647770972030628,-0.0042620804534911905,0.09999999999999999,10.0,40,2.3
1259,25,bicycleperson,390,571,74,541.1680788083432,169.03046743691024,39.0,12.034240319518846,1.9328706863480827,4.0,0.11873504905078258,0.0036529481036202127,0.5542088142887792,-0.0012767303458563611,0.5542088142887792,-0.0012767303458563611,0.09999999999999999,10.0,40,2.3
1269,25,bicycleperson,400,572,73,522.6642694148287,168.80258710433534,40.0,12.679578550271053,1.9453440437714702,1.0,0.6453382307522073,0.01247335742338751,0.5266031817014247,0.008820409319767297,0.5266031817014247,0.008820409319767297,0.09999999999999999,10.0,40,2.3
1279,25,bicycleperson,410,574,73,520.5963327651252,166.02204910746107,41.0,12.3702633679822,1.9539665742649004,1.0,-0.30931518228885047,0.008622530493430203,-0.9546534130410578,-0.0038508269299573072,-0.9546534130410578,-0.0038508269299573072,0.09999999999999999,10.0,40,2.3
1289,25,bicycleperson,420,575,67,399.81424393873937,171.9015803577677,42.0,9.608469258009174,1.9551320974197914,1.0,-2.7617941099730263,0.001165523154891046,-2.452478927684176,-0.007457007338539157,-2.452478927684176,-0.007457007338539157,0.09999999999999999,10.0,40,2.3
1442,28,bicycleperson,180,405,328,1378.734402986832,157.35590575491108,18.0,39.14925249330128,1.8818920344354488,,-1.2218038890111558,-0.23430275713317794,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1452,28,bicycleperson,190,453,273,1336.897469367594,154.20251207617343,19.0,37.92744860429013,1.647589277302271,1.0,-1.2218038890111558,-0.23430275713317794,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1462,28,bicycleperson,200,494,237,1296.9637316329722,147.8103267434737,20.0,36.6482375553181,1.41964867489404,1.0,-1.27921104897203,-0.22794060240823066,-0.05740715996087431,0.006362154724947278,-0.05740715996087431,0.006362154724947278,0.09999999999999999,10.0,40,2.3
1472,28,bicycleperson,210,510,207,1254.4211570432662,148.2311328388997,21.0,35.400039216254775,1.223254642051197,1.0,-1.2481983390633218,-0.19639403284284307,0.031012709908708302,0.031546569565387594,0.031012709908708302,0.031546569565387594,0.09999999999999999,10.0,40,2.3
1582,28,bicycleperson,330,550,141,1087.3293054320625,146.78864509987025,33.0,29.085601104961842,0.7167626339411589,12.0,-0.5262031759410778,-0.04220766734250317,0.060166263593520335,0.012848863791694991,0.060166263593520335,0.012848863791694991,0.09999999999999999,10.0,40,2.3
1592,28,bicycleperson,340,548,160,1149.139529422432,142.02065826475075,34.0,30.668184409141794,0.8410630572055905,1.0,1.582583304179952,0.12430042326443158,2.10878648012103,0.16650809060693475,2.10878648012103,0.16650809060693475,0.09999999999999999,10.0,40,2.3
1602,28,bicycleperson,350,535,174,1187.4878564891042,145.1197876146991,35.0,31.91079331116779,0.9902022013291125,1.0,1.2426089020259958,0.14913914412352203,-0.33997440215395613,0.024838720859090446,-0.33997440215395613,0.024838720859090446,0.09999999999999999,10.0,40,2.3
1612,28,bicycleperson,360,522,205,1249.508018758945,143.61925767619917,36.0,33.69217388570089,1.1702747062179586,1.0,1.7813805745330988,0.18007250488884607,0.538771672507103,0.030933360765324047,0.538771672507103,0.030933360765324047,0.09999999999999999,10.0,40,2.3
1622,28,bicycleperson,370,500,242,1301.9831340138412,144.67515988334404,37.0,35.60759692471856,1.3751921346972507,1.0,1.9154230390176679,0.20491742847929206,0.13404246448456902,0.02484492359044599,0.13404246448456902,0.02484492359044599,0.09999999999999999,10.0,40,2.3
1632,28,bicycleperson,380,452,330,1376.568016481556,145.0778678415955,38.0,37.32425081856328,1.5933640521745156,1.0,1.7166538938447218,0.21817191747726472,-0.19876914517294608,0.013254488997972658,-0.19876914517294608,0.013254488997972658,0.09999999999999999,10.0,40,2.3
1642,28,bicycleperson,390,316,463,1436.2075245426406,156.6919500232266,39.0,39.581559778143976,1.8124738115392007,1.0,2.2573089595806977,0.21910975936468513,0.5406550657359759,0.0009378418874204097,0.5406550657359759,0.0009378418874204097,0.09999999999999999,10.0,40,2.3
1687,31,bicycleperson,330,547,158,1143.678568909123,143.15090847426234,33.0,31.07940725395435,-1.105378828148648,,0.44187074635703283,0.04437270278483255,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1696,31,bicycleperson,360,517,232,1288.2575557011712,140.3031390623988,36.0,32.40501949302545,-0.9722607197941504,3.0,0.44187074635703283,0.04437270278483255,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1706,31,bicycleperson,390,474,238,1300.4085884760116,154.79379045368398,39.0,36.07087891259204,-0.8998749109030046,3.0,1.2219531398555314,0.024128602963715256,0.26002746449949954,-0.006748033273705766,0.26002746449949954,-0.006748033273705766,0.09999999999999999,10.0,40,2.3
1721,31,bicycleperson,410,545,180,1199.0454871187933,138.6254480000057,41.0,33.998988340639016,-0.9425624322287757,2.0,-1.0359452859765135,-0.021343760662885514,-1.1289492129160226,-0.022736181813300387,-1.1289492129160226,-0.022736181813300387,0.09999999999999999,10.0,40,2.3
1731,31,bicycleperson,420,561,160,1146.2341316775392,134.70309017234752,42.0,32.1938006973131,-1.073379740696225,1.0,-1.8051876433259153,-0.13081730846744943,-0.7692423573494018,-0.10947354780456392,-0.7692423573494018,-0.10947354780456392,0.09999999999999999,10.0,40,2.3
1787,33,bicycleperson,330,519,132,1060.9352434134933,171.41183605817352,33.0,30.153961834010968,1.754391326402833,,-0.08948906990606034,-0.016760598037314757,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1795,33,bicycleperson,380,461,155,1154.524079540539,192.59210113789587,38.0,29.706516484480666,1.6705883362162592,5.0,-0.08948906990606034,-0.016760598037314757,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1805,33,bicycleperson,400,493,145,1116.497341694618,180.30946901429067,40.0,30.425630693977382,1.5658926997770484,2.0,0.3595571047483581,-0.052347818219605435,0.22452308732720921,-0.01779361009114534,0.22452308732720921,-0.01779361009114534,0.09999999999999999,10.0,40,2.3
1847,38,bicycleperson,330,345,368,1402.3573403772168,164.63911906441433,33.0,39.73684633882577,2.0408297336427963,,-1.7401086797232352,-0.05485466167859543,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1857,38,bicycleperson,340,374,236,1309.423940256611,190.6847721260667,34.0,37.996737659102536,1.9859750719642009,1.0,-1.7401086797232352,-0.05485466167859543,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1867,38,bicycleperson,350,398,273,1341.9256175989735,171.05882726688495,35.0,37.654773095552116,1.9526505820940465,1.0,-0.3419645635504196,-0.03332448987015435,1.3981441161728156,0.02153017180844108,1.3981441161728156,0.02153017180844108,0.09999999999999999,10.0,40,2.3
1877,38,bicycleperson,360,424,247,1315.603888556475,169.8441062298139,36.0,37.00612661820377,1.9406777509057775,1.0,-0.6486464773483434,-0.011972831188268973,-0.30668191379792376,0.021351658681885377,-0.30668191379792376,0.021351658681885377,0.09999999999999999,10.0,40,2.3
1887,38,bicycleperson,370,442,223,1286.1171285521357,170.71658331682488,37.0,36.041176189888134,1.949878065272837,1.0,-0.9649504283156389,0.00920031436705937,-0.3163039509672956,0.021173145555328343,-0.3163039509672956,0.021173145555328343,0.09999999999999999,10.0,40,2.3
1894,38,bicycleperson,380,432,211,1271.21740655202,178.81284399295308,38.0,35.18846333543068,1.9688207131559272,1.0,-0.8527128544574509,0.018942647883090302,0.112237573858188,0.009742333516030932,0.112237573858188,0.009742333516030932,0.09999999999999999,10.0,40,2.3
1899,38,bicycleperson,390,452,232,1295.9833029305514,164.28604319648576,39.0,35.13796818589726,1.9886156481641473,1.0,-0.050495149533425376,0.01979493500822005,0.8022177049240256,0.000852287125129747,0.8022177049240256,0.000852287125129747,0.09999999999999999,10.0,40,2.3
1909,38,bicycleperson,400,472,184,1220.1190234426597,172.31714922895958,40.0,34.4425996366024,2.043768516547447,1.0,-0.6953685492948551,0.0551528683832998,-0.6448733997614298,0.03535793337507975,-0.6448733997614298,0.03535793337507975,0.09999999999999999,10.0,40,2.3
1972,45,bicycleperson,340,320,227,1305.5141394816642,213.5966757043661,34.0,37.72070379186713,2.755736817910481,,-2.8018086159322166,-0.05163315571582672,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1982,45,bicycleperson,350,356,183,1237.4264875245567,225.37897721710988,35.0,34.918895175934914,2.704103662194654,1.0,-2.8018086159322166,-0.05163315571582672,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
1992,45,bicycleperson,360,388,182,1230.3542339188875,211.784461850306,36.0,34.282112206160086,2.6384187215419885,1.0,-0.6367829697748277,-0.06568494065266561,2.165025646157389,-0.014051784936838896,2.165025646157389,-0.014051784936838896,0.09999999999999999,10.0,40,2.3
2002,45,bicycleperson,370,414,159,1175.2901298707377,214.988774737532,37.0,33.45772595043331,2.563952422399721,1.0,-0.8243862557267789,-0.07446629914226754,-0.1876032859519512,-0.008781358489601931,-0.1876032859519512,-0.008781358489601931,0.09999999999999999,10.0,40,2.3
2012,45,bicycleperson,380,433,131,1082.4787713410728,228.72877739279195,38.0,31.258007457760023,2.4922190268935434,1.0,-2.1997184926732842,-0.07173339550617763,-1.3753322369465053,0.0027329036360899117,-1.3753322369465053,0.0027329036360899117,0.09999999999999999,10.0,40,2.3
2022,45,bicycleperson,390,448,206,1261.6757824161243,174.23831932974022,39.0,32.02890169888223,2.417357280102283,1.0,0.7708942411222068,-0.07486174679126023,2.970612733795491,-0.003128351285082598,2.970612733795491,-0.003128351285082598,0.09999999999999999,10.0,40,2.3
2030,45,bicycleperson,410,490,176,1200.431700478785,166.94452009845094,41.0,32.48693916540923,2.35146758580714,2.0,0.22901873326350142,-0.03294484714757151,-0.2709377539293527,0.02095844982184436,-0.2709377539293527,0.02095844982184436,0.09999999999999999,10.0,40,2.3
2040,45,bicycleperson,420,500,164,1170.1678747816695,166.79009277055383,42.0,32.4892035164628,2.2676973105871983,1.0,0.002264351053568703,-0.08377027521994185,-0.22675438220993271,-0.05082542807237034,-0.22675438220993271,-0.05082542807237034,0.09999999999999999,10.0,40,2.3
2165,46,bicycleperson,330,753,147,1052.4874005538034,10.957543465001889,33.0,28.63682649012971,-1.879656548864716,,0.2875667541960887,0.354968622174648,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2175,46,bicycleperson,340,707,149,1073.5926675414776,43.844670465534,34.0,28.9243932443258,-1.5246879266900677,1.0,0.2875667541960887,0.354968622174648,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2187,46,bicycleperson,360,614,171,1164.4571093935529,104.06618142859485,36.0,31.081203379306654,-1.0461433253817911,2.0,1.0784050674904275,0.2392723006541383,0.3954191566471694,-0.05784816076025484,0.3954191566471694,-0.05784816076025484,0.09999999999999999,10.0,40,2.3
2197,46,bicycleperson,370,580,191,1215.5469817293,119.94913609504864,37.0,32.79634469209705,-0.6160189323741084,1.0,1.7151413127903972,0.43012439300768257,0.6367362452999696,0.19085209235354428,0.6367362452999696,0.19085209235354428,0.09999999999999999,10.0,40,2.3
2207,46,bicycleperson,380,550,214,1259.5078017854555,130.26223837133904,38.0,34.2046346733378,-0.16875280762158693,1.0,1.408289981240749,0.4472661247525214,-0.30685133154964817,0.01714173174483885,-0.30685133154964817,0.01714173174483885,0.09999999999999999,10.0,40,2.3
2217,46,bicycleperson,390,544,260,1316.1792374344595,126.89685141126807,39.0,35.771824760343414,0.28501755995691025,1.0,1.5671900870056135,0.4537703675784971,0.15890010576486446,0.00650424282597567,0.15890010576486446,0.00650424282597567,0.09999999999999999,10.0,40,2.3
2227,46,bicycleperson,400,515,317,1364.0981245995151,130.00886429629549,40.0,37.353275135797254,0.7346546814425245,1.0,1.5814503754538407,0.44963712148561424,0.014260288448227243,-0.004133246092882847,0.014260288448227243,-0.004133246092882847,0.09999999999999999,10.0,40,2.3
2237,46,bicycleperson,410,435,410,1414.003679241279,139.85199793598656,41.0,38.84702865446839,1.1695210679163954,1.0,1.4937535186711344,0.43486638647387077,-0.08769685678270633,-0.014770735011743474,-0.08769685678270633,-0.014770735011743474,0.09999999999999999,10.0,40,2.3
2283,51,bicycleperson,350,559,110,931.231490977013,153.76807198321256,35.0,23.011347427624372,1.5389906920755632,,-0.3766696976262871,0.009958654069393447,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2293,51,bicycleperson,360,566,90,760.8949712849712,160.0658713957829,36.0,22.634677729998085,1.5489493461449566,1.0,-0.3766696976262871,0.009958654069393447,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2303,51,bicycleperson,370,565,82,667.0446023853198,168.20882811280242,37.0,18.762794711658525,1.5526037172285108,1.0,-3.8718830183395596,0.003654371083554153,-3.4952133207132725,-0.0063042829858392935,-3.4952133207132725,-0.0063042829858392935,0.09999999999999999,10.0,40,2.3
2313,51,bicycleperson,380,574,75,555.1395029285762,163.87559081644466,38.0,15.402104399685436,1.5027456690540497,1.0,-3.360690311973089,-0.049858048174461045,0.5111927063664705,-0.0535124192580152,0.5111927063664705,-0.0535124192580152,0.09999999999999999,10.0,40,2.3
2323,51,bicycleperson,390,584,78,593.8266300669984,147.9636614659118,39.0,14.151515326653609,1.4572791658547717,1.0,-1.2505890730318292,-0.04546650319927803,2.11010123894126,0.004391544975183015,2.11010123894126,0.004391544975183015,0.09999999999999999,10.0,40,2.3
2409,51,bicycleperson,650,346,432,1425.8568163050911,154.98454793263645,65.0,39.62088042757929,1.9718642338221297,26.0,0.9795909654202184,0.019791733383359926,0.08577615532507875,0.0025099321762553062,0.08577615532507875,0.0025099321762553062,0.09999999999999999,10.0,40,2.3
2449,55,bicycleperson,390,487,109,955.7958555488696,214.1988476478606,39.0,33.6944667921586,0.539145292921816,,-0.0005647957445766849,-0.001313509004009783,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2481,59,person,340,552,82,677.3072225999297,183.64271422916607,34.0,17.921322315188522,2.4324256208998802,,-0.0005647957445766849,-0.001313509004009783,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2495,63,person,380,465,126,1052.1087642656753,212.63129169210035,38.0,32.48859248713611,2.6900739761194945,,-0.0005647957445766849,-0.001313509004009783,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2720,64,bicycleperson,650,624,137,1049.8136234264036,97.82648225692746,65.0,28.503300124206977,-0.28405466371159344,,-0.0005647957445766849,-0.001313509004009783,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2730,64,bicycleperson,660,625,137,1049.5055744140448,97.12619315302535,66.0,28.5027353284624,-0.2853681727156032,1.0,-0.0005647957445766849,-0.001313509004009783,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
2740,64,bicycleperson,670,625,137,1049.5055744140448,97.12619315302535,67.0,28.495204718534595,-0.285242205714257,1.0,-0.0075306099278051875,0.00012596700134620553,-0.0069658141832285025,0.0014394760053559885,-0.0069658141832285025,0.0014394760053559885,0.09999999999999999,10.0,40,2.3
2750,64,bicycleperson,680,625,137,1049.5055744140448,97.12619315302535,68.0,28.495204718534595,-0.285595172112479,1.0,0.0,-0.0003529663982219655,0.0075306099278051875,-0.00047893339956817105,0.0075306099278051875,-0.00047893339956817105,0.09999999999999999,10.0,40,2.3
2760,64,bicycleperson,690,625,137,1049.5055744140448,97.12619315302535,69.0,28.495204718534595,-0.28609655329099054,1.0,0.0,-0.0005013811785115618,0.0,-0.00014841478028959632,0.0,-0.00014841478028959632,0.09999999999999999,10.0,40,2.3
2770,64,bicycleperson,700,624,137,1049.8136234264036,97.82648225692746,70.0,28.497652166761135,-0.28613287322931724,1.0,0.0024474482265404163,-3.6319938326700996e-05,0.0024474482265404163,0.00046506124018486084,0.0024474482265404163,0.00046506124018486084,0.09999999999999999,10.0,40,2.3
2780,64,bicycleperson,710,625,138,1053.7239160136269,97.1620644554834,71.0,28.538062558897835,-0.2858533789395401,1.0,0.04041039213669961,0.00027949428977713797,0.0379629439101592,0.00031581422810383897,0.0379629439101592,0.00031581422810383897,0.09999999999999999,10.0,40,2.3
2790,64,bicycleperson,720,624,138,1054.0278839170408,97.85655079837618,72.0,28.61769890992431,-0.2843218234512545,1.0,0.07963635102647615,0.0015315554882855964,0.039225958889776535,0.0012520611985084584,0.039225958889776535,0.0012520611985084584,0.09999999999999999,10.0,40,2.3
2800,64,bicycleperson,730,624,138,1054.0278839170408,97.85655079837618,73.0,28.63228136802539,-0.28181694899711573,1.0,0.014582458101077833,0.0025048744541387724,-0.06505389292539832,0.000973318965853176,-0.06505389292539832,0.000973318965853176,0.09999999999999999,10.0,40,2.3
2810,64,bicycleperson,740,624,138,1054.0278839170408,97.85655079837618,74.0,28.63079519951367,-0.2797155051795067,1.0,-0.0014861685117182333,0.0021014438176090167,-0.016068626612796066,-0.00040343063652975575,-0.016068626612796066,-0.00040343063652975575,0.09999999999999999,10.0,40,2.3
2820,64,bicycleperson,750,625,138,1053.7239160136269,97.1620644554834,75.0,28.630609428449702,-0.27741800540335765,1.0,-0.00018577106396833187,0.00229749977614907,0.0013003974477499014,0.00019605595854005342,0.0013003974477499014,0.00019605595854005342,0.09999999999999999,10.0,40,2.3
2830,64,bicycleperson,760,624,138,1054.0278839170408,97.85655079837618,76.0,28.629123259937973,-0.2748667936827357,1.0,-0.0014861685117288914,0.0025512117206219487,-0.0013003974477605595,0.0002537119444728786,-0.0013003974477605595,0.0002537119444728786,0.09999999999999999,10.0,40,2.3
2840,64,bicycleperson,770,624,138,1054.0278839170408,97.85655079837618,77.0,28.632095596961427,-0.271679035648488,1.0,0.00297233702345423,0.0031877580342477008,0.0044585055351831215,0.0006365463136257521,0.0044585055351831215,0.0006365463136257521,0.09999999999999999,10.0,40,2.3
2850,64,bicycleperson,780,624,138,1054.0278839170408,97.85655079837618,78.0,28.633395994409184,-0.26918978574220476,1.0,0.0013003974477570068,0.002489249906283242,-0.0016719395756972233,-0.0006985081279644589,-0.0016719395756972233,-0.0006985081279644589,0.09999999999999999,10.0,40,2.3
2860,64,bicycleperson,790,624,138,1054.0278839170408,97.85655079837618,79.0,28.633395994409184,-0.26707810559966627,1.0,0.0,0.0021116801425384857,-0.0013003974477570068,-0.00037756976374475615,-0.0013003974477570068,-0.00037756976374475615,0.09999999999999999,10.0,40,2.3
2870,64,bicycleperson,800,623,138,1054.331630784449,98.5505321323996,80.0,28.63896507371996,-0.26608832932884124,1.0,0.0055690793107743275,0.0009897762708250268,0.0055690793107743275,-0.0011219038717134588,0.0055690793107743275,-0.0011219038717134588,0.09999999999999999,10.0,40,2.3
