Target_ID_max,Vy_min,TIT_T3_max,ay_min,TIT_T2_max,Gap_Factor_mean,ay_max,ay_mean,TIT_T1_max,TET_T1_max,TTC_min,TET_T3_max,k=3,k=4,k=5,k=6,k=7,k=8,k=9
1,0.0091791363560337,1.535228428586028,0.0,0.535228428586028,0.0,0.0,0.0,0.0,0.0,2.464771571413972,0.1,2,3,2,2,2,3,3
2,-0.1652280842922726,0.0,-0.0664029721059286,0.0,0.0,0.0,-0.0243059457672123,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
3,-0.0118003068773386,0.2069987563984674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.793001243601533,0.1,0,1,1,1,1,2,2
4,-0.0118003068773386,0.0,0.0,0.0,0.3589021404584249,0.0017845197412009,0.0005948399137336,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
13,0.0632156375935022,0.2069987563984674,0.0,0.0,0.180278460184733,0.0070064254358834,0.0023354751452944,0.0,0.0,3.793001243601533,0.1,0,1,1,1,1,2,2
17,-0.2981806723136448,0.0,-0.2604692523787016,0.0,0.1538152030536106,0.0260667837771516,-0.0417742596206655,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
18,-0.0192911713668122,1.535228428586028,-0.0152616310841429,0.535228428586028,0.0901392300923665,0.0050318911194917,-0.0012847397152196,0.0,0.0,2.464771571413972,0.1,2,3,2,2,2,3,3
25,-0.0090037896230814,3.927840301591876,-0.0112254166192822,2.927840301591876,0.0177625268697738,0.0105003097628916,-0.0001385208804931,1.927840301591876,0.1,0.0721596984081239,0.1,2,3,4,5,6,6,7
28,-0.2343027571331779,3.4514128558896013,0.0,2.4514128558896013,0.2903229002312664,0.1665080906069347,0.0283704558899288,1.4514128558896011,0.1,0.5485871441103988,0.1,2,3,4,5,6,5,6
31,-0.1308173084674494,0.0,-0.1094735478045639,0.0,0.3581585850034441,0.0,-0.0277915525783139,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
33,-0.0523478182196054,2.17374009348743,-0.0177936100911453,1.1737400934874296,0.3347286090018257,0.0,-0.0059312033637151,0.1737400934874295,0.1,1.8262599065125704,0.1,2,3,2,4,2,4,5
38,-0.0548546616785954,3.4514128558896013,0.0,2.4514128558896013,0.4985010479887326,0.0353579333750797,0.0137509412577368,1.4514128558896011,0.1,0.5485871441103988,0.1,2,3,4,5,6,5,6
45,-0.0837702752199418,2.7451493734491743,-0.0508254280723703,1.7451493734491743,0.3929176978944312,0.0209584498218443,-0.0066369461657449,0.7451493734491743,0.1,1.2548506265508257,0.1,2,3,2,4,5,4,4
46,0.2392723006541383,0.0,-0.0578481607602548,0.0,0.27844355947205,0.1908520923535442,0.0172182406324347,0.0,0.0,4.741957591453892,0.0,0,1,1,1,1,2,2
51,-0.049858048174461,3.927840301591876,-0.0535124192580152,2.927840301591876,0.0355250537395477,0.004391544975183,-0.0088192041820693,1.927840301591876,0.1,0.0721596984081239,0.1,2,3,4,5,6,6,7
55,-0.0013135090040097,0.0,0.0,0.0,0.7455199509859085,0.0,0.0,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
59,-0.0013135090040097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4748002955021535,0.0,1,0,0,0,0,1,1
63,-0.0013135090040097,2.5449418046896377,0.0,1.5449418046896377,0.790071828024728,0.0,0.0,0.5449418046896377,0.1,1.4550581953103623,0.1,2,3,2,4,5,4,5
64,-0.0019126325549361,0.0,-0.0014005497787492,0.0,0.092920406470223,0.0014394760053559,-2.852969290125713e-05,0.0,0.0,4.223365209249057,0.0,0,1,1,1,1,2,2
86,-0.1559321919444452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
88,-0.1559321919444452,0.0,0.0,0.0,0.0204556496055037,0.057797470211814,0.0247306493121969,0.0,0.0,4.223365209249057,0.0,0,1,1,1,1,2,2
91,-0.0583467163404085,0.0,-0.0896408248336009,0.0,0.1039545699661853,0.0669317974454983,-8.881515422423495e-05,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
96,-0.0833553650822183,0.0,0.0,0.0,0.3812155922253927,0.0214117906703266,0.0082037160956449,0.0,0.0,8.435901079734753,0.0,1,0,0,0,3,1,1
97,-0.0712015779555441,0.0,0.0,0.0,1.445227076609929,0.0,0.0,0.0,0.0,10.0,0.0,1,2,3,3,4,7,8
99,0.0202093967173782,0.0,0.0,0.0,1.5684261620044708,0.0,0.0,0.0,0.0,10.0,0.0,1,2,3,3,4,7,8
128,-0.0572732403882536,3.4864786152992133,-0.0287468536151236,2.4864786152992133,0.1988372723863582,0.0588795830803443,-0.0023832163582847,1.4864786152992135,0.1,0.5135213847007865,0.1,2,3,4,5,6,5,6
155,0.038653912624244,2.8865070568064164,0.0,1.8865070568064168,0.2851310423442296,0.048948381358453,0.0276412953358472,0.8865070568064166,0.1,1.1134929431935834,0.1,2,3,2,4,5,4,4
157,-0.1597446166357352,2.450506399380421,-0.0932646808363267,1.4505063993804213,1.0780252479988597,0.0599557266430456,-0.0015529247759448,0.4505063993804212,0.1,1.5494936006195787,0.1,2,3,2,4,5,4,5
159,0.1834315966398212,2.450506399380421,0.0,1.4505063993804213,0.1733911752700805,0.0,0.0,0.4505063993804212,0.1,1.5494936006195787,0.1,2,3,2,4,5,4,5
165,0.074177437580218,3.418496369647768,-0.0821779615791293,2.418496369647768,0.2562653382619222,0.2037306123324233,-0.0160629556827975,1.4184963696477677,0.1,0.5815036303522325,0.1,2,3,4,5,6,5,6
167,-0.0362419568091225,3.4864786152992133,-0.0100673389724732,2.4864786152992133,1.1512014925479888,0.0230345267801731,0.0041015707925792,1.4864786152992135,0.1,0.5135213847007865,0.1,2,3,4,5,6,5,6
168,0.1177662754497086,0.0,0.0,0.0,0.3534196853637695,0.0,0.0,0.0,0.0,4.52057539213899,0.0,0,1,1,1,1,2,2
171,0.1177662754497086,3.448812624881001,0.0,2.448812624881001,0.657929565111796,0.0195272720259009,0.0094102760469793,1.448812624881001,0.1,0.5511873751189991,0.1,2,3,4,5,6,5,6
177,-0.0043463641872145,0.0,-6.207972607930046e-05,0.0,0.0,0.0,-2.0693242026433484e-05,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
