Target_ID_max,Target_Class_max,Vx_max,Vy_max,ax_max,ay_max,TIT_T1_max,TET_T1_max,TIT_T2_max,TET_T2_max,TIT_T3_max,TET_T3_max,Gap_Factor_max,Vx_min,Vy_min,ax_min,ay_min,TTC_min,Gap_Factor_min,Vx_mean,Vy_mean,ax_mean,ay_mean,Gap_Factor_mean
491,person,1.1971211161056274,0.1126801750412442,0.9556209821355234,0.0905022030137652,1.6591625288764664,0.1,2.6591625288764664,0.1,3.6591625288764664,0.1,1.3808380365371704,-0.7071134750364969,-0.3828530084371189,-0.8147951377755263,-0.2700677915751941,0.3408374711235337,0.20559396346410116,-0.04962165873173877,-0.14843414885524422,0.032786653254121736,-0.013246159061197037,0.614060207251664
496,person,1.8448850401240835,-0.0466295896690323,1.013584524045208,0.0185843586714415,1.5708234807184294,0.1,2.5708234807184294,0.1,3.5708234807184294,0.1,0.7030754884084066,0.0108566484290371,-0.6997619938254722,-1.8340283916950464,-0.6193486876335983,0.4291765192815706,0.0,0.6666659432876156,-0.29042033805983886,-0.1267027770535878,-0.09896953563855428,0.34371738963656956
501,person,-0.3773251223237253,0.0534819992505111,0.0,0.0,0.7923865995840258,0.1,1.7923865995840258,0.1,2.7923865995840256,0.1,0.9420621633529663,-0.3773251223237253,0.0534819992505111,0.0,0.0,1.2076134004159742,0.7955954472223917,-0.3773251223237253,0.0534819992505111,0.0,0.0,0.868828805287679
505,person,3.838691840600646,0.1089257817321374,0.9940234492036746,0.0385120111103196,1.2237743846105882,0.1,2.2237743846105884,0.1,3.2237743846105884,0.1,1.5562444925308228,0.1681637722657309,-0.149588276425745,-3.091836019109138,-0.0522017938343104,0.7762256153894118,0.0,1.5588178995305944,-0.00877005616829222,-0.30835417465015685,0.007213731039250134,0.24092061533814382
514,person,0.9433900240929648,0.0038826766127286,0.378474304809048,0.0059645106657837,1.6936133834194493,0.1,2.693613383419449,0.1,3.693613383419449,0.1,0.5348790032523019,0.1178746449743233,-0.0260398300464341,-0.5708203766742983,-0.0043489078152252,0.30638661658055066,0.0,0.4247853765427554,-0.008730129446575679,5.6629976167921665e-05,-0.0012329454319182074,0.11973113506559342
518,person,1.138400402157611,0.0287573861280423,2.55296651930837,0.0263787084172204,1.6936133834194493,0.1,2.693613383419449,0.1,3.693613383419449,0.1,1.38266202381679,-3.065555826243653,-0.1301692028445056,-1.6509294191046564,-0.0227946546557457,0.30638661658055066,0.0,-0.7511085795433053,-0.0526010337227506,0.12106182623494895,0.00879041711478907,0.29733540671212333
519,person,0.1648126708057589,-0.2313643269521754,0.5999919280396604,0.1730191683345792,0.0,0.0,0.0,0.0,0.0,0.0,0.40443757602146696,-1.6172217281653405,-0.577402663621334,-0.1430211824301466,-0.3371904698936363,10.0,0.0,-1.0251248947648088,-0.4840897242140503,0.1766854431697473,-0.036817306121415615,0.12824598380497526
522,person,0.2225839543612255,0.0465484925254067,1.8597870107454924,0.0167068158755814,1.2237743846105882,0.1,2.2237743846105884,0.1,3.2237743846105884,0.1,1.352472972869873,-2.8308028083960366,-0.0616427816582239,-1.091311078874682,-0.0109320268081265,0.7762256153894118,0.0,-1.448839841092777,-0.015813551352813243,-0.05672877098266447,0.008104937281291975,0.25541382772581916
527,person,-0.6217153372727466,-0.0651326628044638,0.0273435311418239,0.0105622159361776,0.0,0.0,0.0,0.0,0.0,0.0,0.8782307147979737,-1.1585673005707562,-0.117943742485352,-0.1270681867422354,-0.0117055565076703,7.8435261721488905,0.0,-0.8096030941270318,-0.09869297191430644,-0.043078213732248426,-0.002478897811600857,0.44032789168714664
528,person,-0.8367698309958129,0.0943899361280156,0.0,0.0091864871382321,0.0,0.0,0.0,0.0,0.0,0.0,0.5849201679229736,-2.4614635585847964,0.0776721232358648,-1.2264036839663888,0.0,10.0,0.1852431297302246,-1.549544183884656,0.08414819824346052,-0.40617343189724586,0.004179453223037675,0.38749212423960366
530,person,-0.3077091016710532,-0.0012020811203695,1.0957630988802831,0.0009469830699984,1.4139137953707168,0.1,2.413913795370717,0.1,3.413913795370717,0.1,1.8224590301513672,-1.8568145686683977,-0.0156168257696849,-1.5491054669973443,-0.0143369252047734,0.5860862046292831,0.20294392108917236,-0.8187715490668127,-0.011065911418582871,-0.08066220182792318,-0.0017997997076948547,0.602300818355716
532,person,-0.9899766037348384,-0.0981993287750158,0.1390692134945155,0.0190384907477213,1.9195521446638943,0.1,2.919552144663894,0.1,3.919552144663894,0.1,1.1077654600143432,-1.1644520111955856,-0.1554529404250901,-0.0496833506001905,0.0,0.08044785533610575,0.2035468022028605,-1.1046183059928347,-0.13633551287342072,0.01413944973528203,0.008179087378582015,0.45304868265885073
535,person,-0.2147691721484257,0.344047274438132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40443757602146696,-0.712780498436901,0.1850638131982381,-0.2490056631442376,-0.0794917306199469,7.589469558543765,0.0,-0.3807729475779175,0.29105278735816736,-0.08300188771474587,-0.0264972435399823,0.134812525340489
537,person,-0.0587976760649215,0.0507188102382532,2.7845009386708317,0.013994945473553,0.8622333125852246,0.1,1.8622333125852246,0.1,2.8622333125852246,0.1,0.6040919303894043,-5.008340519478169,0.0367238647647001,-0.4591239735214838,-0.0041057424160317,1.1377666874147754,0.0,-3.2778821736527597,0.04307380287529604,0.8980837739783528,0.0013649002663395,0.15583869377772014
538,person,2.4975078840495755,-0.01161746381459,2.466233895057222,0.0461959614502118,1.9195521446638943,0.1,2.919552144663894,0.1,3.919552144663894,0.1,1.964555811882019,-1.4784111499543862,-0.0578152912963143,0.0,-0.0461978274817242,0.08044785533610575,0.0,0.32907631903991685,-0.03912765268354944,0.7951838068007924,-0.00472384995505876,0.4793578986326853
